Year,Disaster Group,Disaster Subgroup,Disaster Type,Country,Region,Continent,Total Deaths,Total Affected
2018,Natural,Hydrological,Flood,Albania,Southern Europe,Europe,,800
2018,Natural,Hydrological,Flood,Brazil,South America,Americas,4,250
2018,Natural,Hydrological,Flood,Bangladesh,Southern Asia,Asia,14,
2018,Natural,Hydrological,Flood,Bolivia (Plurinational State of),South America,Americas,6,12186
2018,Natural,Hydrological,Flood,Colombia,South America,Americas,12,60000
2018,Natural,Hydrological,Flood,Costa Rica,Central America,Americas,1,125190
2018,Natural,Hydrological,Flood,Guatemala,Central America,Americas,,100
2018,Natural,Hydrological,Flood,Ghana,Western Africa,Africa,34,100000
2018,Natural,Climatological,Wildfire,Canada,Northern America,Americas,,3000
2018,Natural,Geophysical,Volcanic activity,Guatemala,Central America,Americas,461,1714414
2018,Natural,Hydrological,Flood,Argentina,South America,Americas,,1420
2018,Natural,Hydrological,Flood,China,Eastern Asia,Asia,11,36000
2018,Natural,Hydrological,Flood,China,Eastern Asia,Asia,112,450000
2018,Natural,Hydrological,Flood,Colombia,South America,Americas,14,
2018,Natural,Climatological,Wildfire,Greece,Southern Europe,Europe,100,4718
2018,Natural,Climatological,Drought,Afghanistan,Southern Asia,Asia,,13500000
2018,Natural,Hydrological,Flood,Afghanistan,Southern Asia,Asia,11,
2018,Natural,Hydrological,Landslide,Afghanistan,Southern Asia,Asia,12,
2018,Natural,Hydrological,Flood,Afghanistan,Southern Asia,Asia,72,4000
2018,Natural,Hydrological,Flood,Afghanistan,Southern Asia,Asia,18,
2018,Natural,Hydrological,Flood,Angola,Middle Africa,Africa,8,3000
2018,Natural,Climatological,Drought,Argentina,South America,Americas,,
2018,Natural,Hydrological,Flood,Argentina,South America,Americas,,17000
2018,Natural,Hydrological,Flood,Argentina,South America,Americas,,45000
2018,Natural,Climatological,Drought,Australia,Australia and New Zealand,Oceania,,
2018,Natural,Hydrological,Flood,Australia,Australia and New Zealand,Oceania,,600
2018,Natural,Hydrological,Flood,Burundi,Eastern Africa,Africa,,12000
2018,Natural,Hydrological,Flood,Burundi,Eastern Africa,Africa,,23000
2018,Natural,Hydrological,Flood,Burundi,Eastern Africa,Africa,,12956
2018,Natural,Hydrological,Flood,Bangladesh,Southern Asia,Asia,21,14000
